name,operatingTime,popularity,releases,cbo,dit,lcom_as,loc
springcloud-learning,3,5355,0,2,141,0,7500263
SwipeRecyclerView,6,5350,0,2,141,0,7520109
dubbo-spring-boot-project,4,5338,13,2,141,0,7523482
gradle-retrolambda,9,5338,37,2,141,0,7524630
useful-java-links,6,5332,0,2,141,0,7534908
XRecyclerView,7,5312,0,2,141,0,7544337
cw-omnibus,10,5289,36,2,141,0,7669350
Leaf,4,5581,0,2,141,0,7671749
aurora-imui,6,5579,42,2,141,0,7703979
smali,10,5577,0,2,141,0,7789167
FlowLayout,7,5563,0,2,141,0,7790671
disconf,8,5530,12,2,141,0,7816524
robolectric,12,5527,86,2,141,0,8126143
StickyListHeaders,10,5523,16,2,141,0,8130018
mosby,7,5496,15,2,141,0,8161237
tcc-transaction,7,5492,5,2,141,0,8198820
freeline,6,5490,22,2,141,0,8208561
wechat,7,5206,0,2,141,0,8269332
android-lifecycle,8,5202,0,2,141,0,8270282
titan,10,5201,0,2,141,0,8398317
ksql,6,5199,8,2,141,0,8762805
otto,10,5196,0,2,141,0,8766162
btrace,8,5191,29,2,141,0,8835800
Dexter,7,5175,33,2,141,0,8839473
byte-buddy,9,5166,254,2,141,0,9196729
wiremock,11,5149,5,2,141,0,9270102
AndroidProject,4,5136,17,2,141,0,9304599
dubbo-spring-boot-project,4,5338,13,2,141,0,9307972
gradle-retrolambda,9,5338,37,2,141,0,9309120
useful-java-links,6,5332,0,2,141,0,9319398
XRecyclerView,7,5312,0,2,141,0,9328827
cw-omnibus,10,5289,36,2,141,0,9453840
scribejava,12,5282,7,2,141,0,9476899
react-native-splash-screen,6,5281,12,2,141,0,9477352
Blurry,7,5276,0,2,141,0,9478425
VitamioBundle,10,5271,0,2,141,0,9489365
twoway-view,9,5259,0,2,141,0,9495905
MagicCamera,6,5257,0,2,141,0,9522753
android-advancedrecyclerview,7,5226,1,2,141,0,9559714
FloatingActionButton,7,5223,14,2,141,0,9564800
zxing-android-embedded,10,5213,9,2,141,0,9574133
TapTargetView,6,5209,23,2,141,0,9577635
quartz,6,5209,2,2,141,0,9656070
Side-Menu.Android,7,5206,2,2,141,0,9656893
wechat,7,5206,0,2,141,0,9717664
android-lifecycle,8,5202,0,2,141,0,9718614
titan,10,5201,0,2,141,0,9846649
ksql,6,5199,8,2,141,0,10211137
otto,10,5196,0,2,141,0,10214494
btrace,8,5191,29,2,141,0,10284132
Dexter,7,5175,33,2,141,0,10287805
byte-buddy,9,5166,254,2,141,0,10645061
wiremock,11,5149,5,2,141,0,10718434
AndroidProject,4,5136,17,2,141,0,10752931
Android-ZBLibrary,7,5125,25,2,141,0,10780016
jOOQ,11,5106,0,2,141,0,11162551
itstack-demo-design,2,5104,0,2,141,0,11169797
hibernate-orm,12,5103,16,2,141,0,12524234
KnowStreaming,2,5078,16,2,141,0,12563310
jvm-sandbox,5,5071,12,2,141,0,12588843
lanproxy,6,5070,1,2,141,0,12593857
ctci,9,5059,0,2,141,0,12615316
AndroidVideoCache,7,5045,20,2,141,0,12621291
shimmer-android,7,5045,5,2,141,0,12622745
InstaMaterial,8,5022,1,2,141,0,12626731
UltraViewPager,5,5021,10,2,141,0,12629604
Small,7,5014,25,2,141,0,12642841
Aria,6,5013,26,2,141,0,12722757
hazelcast,10,5009,173,2,580,0,14529329
android-common,10,5007,1,2,580,0,14541686
vavr,8,4997,17,2,580,0,14661829
socket.io-client-java,9,4994,5,2,580,0,14672270
spring-mvc-showcase,11,4988,0,2,580,0,14674637
GmsCore,8,4986,26,2,580,0,14736029
Discovery,4,4986,118,2,580,0,14778733
generator,9,4984,10,2,580,0,14920840
RxJava2-Android-Samples,6,4974,0,2,580,0,14928293
dialogplus,8,4968,9,2,580,0,14930235
gephi,11,4967,17,2,580,0,15153858
RippleEffect,8,4953,0,2,580,0,15154768
android-zxingLibrary,6,4944,0,2,580,0,15158425
GravitySnapHelper,6,4937,14,2,580,0,15159599
NavigationTabBar,6,4926,13,2,580,0,15164053
java-jwt,8,4918,36,2,580,0,15180482
baritone,4,4912,61,2,580,0,15212213
SoloPi,3,4910,8,2,580,0,15315501
google-authenticator,8,4891,0,2,580,0,15322256
folding-cell-android,6,4887,0,2,2,0,1531
LayoutManagerGroup,4,4861,0,2,3,0,5492
Transitions-Everywhere,8,4860,23,2,11,0,22351
smartTable,5,4843,44,2,11,0,49112
joda-time,11,4825,38,2,17,0,221206
EdXposed,3,4817,27,2,17,0,353036
lucida,8,4817,0,2,17,0,394237
BasePopup,6,4817,15,2,17,0,444472
packer-ng-plugin,7,4809,1,2,17,0,447735
conductor,6,4795,308,2,17,0,532303
uid-generator,5,4788,0,2,17,0,533905
JS-Sorting-Algorithm,5,4783,0,2,17,0,534654
AndroidStaggeredGrid,9,4776,7,2,17,0,541778
cameraview,6,4749,0,2,17,0,546994
Android-ConvenientBanner,8,4745,0,2,17,0,548538
opentsdb,12,4726,26,2,17,0,743026
CloudReader,6,4724,25,2,17,0,778036
ActiveAndroid,10,4716,0,2,17,0,783901
cardslib,9,4714,27,2,20,0,839846
lettuce-core,8,4712,101,2,20,0,984498
okdownload,5,4712,8,4,6,0,34830
FastBle,6,4711,9,2,6,0,43244
baseAdapter,7,4689,0,2,6,0,46198
drools,11,4664,0,3,59,0,1322502
google-java-format,7,4656,17,1,59,0,1344940
MaterialDateTimePicker,7,4646,54,1,59,0,1358966
hbase,8,4637,26,2,106,0,2896497
groovy,7,4634,0,2,106,0,2896497
spring-cloud-netflix,8,4629,2,2,106,0,2909516
android-tips-tricks,6,4621,0,2,106,0,2909556
sqlbrite,7,4620,9,2,106,0,2915305
chuck,5,4615,5,2,106,0,2918420
spring-security-oauth,11,4609,0,2,106,0,2982935
sofa-boot,4,4606,55,2,106,0,3028050
v9porn,4,4598,9,2,106,0,3073690
go-lang-idea-plugin,12,4598,21,2,106,0,3157756
spring-data-examples,8,4595,0,2,106,0,3241262
janusgraph,6,4593,21,2,106,0,3402330
SwitchButton,8,4589,0,2,106,0,3405233
SimplifyReader,7,4578,0,2,106,0,3468914
Depth-LIB-Android-,6,4576,0,2,106,0,3475724
JAViewer,6,4570,10,2,106,0,3487007
